wavenumber (1/cm),cross section (cm^2)
9750.000,1.044E-24
9751.000,1.161E-24
9752.000,1.278E-24
9753.000,1.236E-24
9754.000,1.193E-24
9755.000,1.151E-24
9756.000,1.145E-24
9757.000,1.139E-24
9758.000,1.133E-24
9759.000,1.069E-24
9760.000,1.004E-24
9761.000,1.058E-24
9762.000,1.113E-24
9763.000,1.167E-24
9764.000,1.193E-24
9765.000,1.220E-24
9766.000,1.246E-24
9767.000,1.288E-24
9768.000,1.331E-24
9769.000,1.373E-24
9770.000,1.295E-24
9771.000,1.218E-24
9772.000,1.248E-24
9773.000,1.279E-24
9774.000,1.309E-24
9775.000,1.311E-24
9776.000,1.312E-24
9777.000,1.314E-24
9778.000,1.348E-24
9779.000,1.383E-24
9780.000,1.364E-24
9781.000,1.345E-24
9782.000,1.326E-24
9783.000,1.321E-24
9784.000,1.316E-24
9785.000,1.311E-24
9786.000,1.192E-24
9787.000,1.072E-24
9788.000,1.108E-24
9789.000,1.143E-24
9790.000,1.179E-24
9791.000,1.190E-24
9792.000,1.200E-24
9793.000,1.211E-24
9794.000,1.266E-24
9795.000,1.321E-24
9796.000,1.294E-24
9797.000,1.268E-24
9798.000,1.241E-24
9799.000,1.259E-24
9800.000,1.277E-24
9801.000,1.295E-24
9802.000,1.299E-24
9803.000,1.302E-24
9804.000,1.306E-24
9805.000,1.388E-24
9806.000,1.470E-24
9807.000,1.489E-24
9808.000,1.508E-24
9809.000,1.527E-24
9810.000,1.484E-24
9811.000,1.440E-24
9812.000,1.397E-24
9813.000,1.305E-24
9814.000,1.212E-24
9815.000,1.215E-24
9816.000,1.218E-24
9817.000,1.221E-24
9818.000,1.170E-24
9819.000,1.119E-24
9820.000,1.068E-24
9821.000,1.046E-24
9822.000,1.024E-24
9823.000,1.047E-24
9824.000,1.071E-24
9825.000,1.094E-24
9826.000,1.116E-24
9827.000,1.138E-24
9828.000,1.160E-24
9829.000,1.185E-24
9830.000,1.210E-24
9831.000,1.235E-24
9832.000,1.242E-24
9833.000,1.250E-24
9834.000,1.232E-24
9835.000,1.215E-24
9836.000,1.197E-24
9837.000,1.205E-24
9838.000,1.213E-24
9839.000,1.221E-24
9840.000,1.219E-24
9841.000,1.217E-24
9842.000,1.227E-24
9843.000,1.237E-24
9844.000,1.247E-24
9845.000,1.272E-24
9846.000,1.296E-24
9847.000,1.321E-24
9848.000,1.287E-24
9849.000,1.252E-24
9850.000,1.218E-24
9851.000,1.096E-24
9852.000,9.746E-25
9853.000,1.019E-24
9854.000,1.064E-24
9855.000,1.108E-24
9856.000,1.135E-24
9857.000,1.162E-24
9858.000,1.189E-24
9859.000,1.246E-24
9860.000,1.304E-24
9861.000,1.281E-24
9862.000,1.258E-24
9863.000,1.235E-24
9864.000,1.191E-24
9865.000,1.146E-24
9866.000,1.102E-24
9867.000,1.119E-24
9868.000,1.136E-24
9869.000,1.153E-24
9870.000,1.201E-24
9871.000,1.248E-24
9872.000,1.282E-24
9873.000,1.317E-24
9874.000,1.351E-24
9875.000,1.415E-24
9876.000,1.479E-24
9877.000,1.543E-24
9878.000,1.509E-24
9879.000,1.474E-24
9880.000,1.440E-24
9881.000,1.370E-24
9882.000,1.299E-24
9883.000,1.296E-24
9884.000,1.293E-24
9885.000,1.290E-24
9886.000,1.323E-24
9887.000,1.355E-24
9888.000,1.388E-24
9889.000,1.413E-24
9890.000,1.439E-24
9891.000,1.482E-24
9892.000,1.526E-24
9893.000,1.569E-24
9894.000,1.649E-24
9895.000,1.729E-24
9896.000,1.809E-24
9897.000,1.894E-24
9898.000,1.979E-24
9899.000,2.064E-24
9900.000,1.961E-24
9901.000,1.857E-24
9902.000,1.811E-24
9903.000,1.765E-24
9904.000,1.719E-24
9905.000,1.804E-24
9906.000,1.890E-24
9907.000,1.975E-24
9908.000,2.153E-24
9909.000,2.330E-24
9910.000,2.508E-24
9911.000,2.367E-24
9912.000,2.225E-24
9913.000,2.117E-24
9914.000,2.009E-24
9915.000,1.901E-24
9916.000,1.845E-24
9917.000,1.788E-24
9918.000,1.732E-24
9919.000,1.807E-24
9920.000,1.882E-24
9921.000,1.957E-24
9922.000,2.079E-24
9923.000,2.202E-24
9924.000,2.183E-24
9925.000,2.165E-24
9926.000,2.146E-24
9927.000,2.177E-24
9928.000,2.209E-24
9929.000,2.240E-24
9930.000,2.329E-24
9931.000,2.417E-24
9932.000,2.506E-24
9933.000,2.477E-24
9934.000,2.449E-24
9935.000,2.676E-24
9936.000,2.902E-24
9937.000,3.129E-24
9938.000,3.199E-24
9939.000,3.268E-24
9940.000,3.338E-24
9941.000,3.226E-24
9942.000,3.113E-24
9943.000,3.001E-24
9944.000,2.863E-24
9945.000,2.725E-24
9946.000,2.680E-24
9947.000,2.635E-24
9948.000,2.590E-24
9949.000,2.672E-24
9950.000,2.755E-24
9951.000,2.837E-24
9952.000,2.895E-24
9953.000,2.954E-24
9954.000,3.012E-24
9955.000,3.100E-24
9956.000,3.189E-24
9957.000,3.277E-24
9958.000,3.532E-24
9959.000,3.787E-24
9960.000,3.934E-24
9961.000,4.082E-24
9962.000,4.229E-24
9963.000,4.444E-24
9964.000,4.659E-24
9965.000,4.874E-24
9966.000,4.755E-24
9967.000,4.636E-24
9968.000,4.517E-24
9969.000,4.102E-24
9970.000,3.688E-24
9971.000,3.599E-24
9972.000,3.510E-24
9973.000,3.421E-24
9974.000,3.553E-24
9975.000,3.685E-24
