wavenumber[1/cm],cross section[cm^2]
854.6838571715548,2.476e-20
854.6939012856568,3.008e-20
854.7039453997589,2.708e-20
854.713989513861,2.115e-20
854.724033627963,2.173e-20
854.7340777420651,2.602e-20
854.7441218561671,2.769e-20
854.7541659702691,2.668e-20
854.7642100843713,2.402e-20
854.7742541984733,2.107e-20
854.7842983125753,2.185e-20
854.7943424266773,2.621e-20
854.8043865407794,2.85e-20
854.8144306548814,2.722e-20
854.8244747689835,2.565e-20
854.8345188830856,2.468e-20
854.8445629971876,2.421e-20
854.8546071112896,2.564e-20
854.8646512253916,2.77e-20
854.8746953394938,2.723e-20
854.8847394535958,2.51e-20
854.8947835676978,2.458e-20
854.9048276817999,2.637e-20
854.914871795902,2.874e-20
854.924915910004,2.922e-20
854.9349600241061,2.684e-20
854.9450041382081,2.463e-20
854.9550482523101,2.557e-20
854.9650923664121,2.715e-20
854.9751364805143,2.573e-20
854.9851805946163,2.273e-20
854.9952247087183,2.161e-20
855.0052688228204,2.35e-20
855.0153129369224,2.717e-20
855.0253570510245,2.906e-20
855.0354011651265,2.665e-20
855.0454452792286,2.37e-20
855.0554893933306,2.514e-20
855.0655335074326,2.858e-20
855.0755776215348,2.931e-20
855.0856217356368,2.818e-20
855.0956658497388,2.725e-20
855.1057099638409,2.612e-20
855.1157540779429,2.629e-20
855.125798192045,2.884e-20
855.135842306147,2.959e-20
855.1458864202491,2.651e-20
855.1559305343511,2.498e-20
855.1659746484531,2.734e-20
855.1760187625553,2.858e-20
855.1860628766573,2.76e-20
855.1961069907593,2.867e-20
855.2061511048613,3.031e-20
855.2161952189634,2.779e-20
855.2262393330655,2.45e-20
855.2362834471675,2.645e-20
855.2463275612696,2.997e-20
855.2563716753716,2.831e-20
855.2664157894736,2.49e-20
855.2764599035758,2.731e-20
855.2865040176778,3.324e-20
855.2965481317798,3.377e-20
855.3065922458818,2.813e-20
855.3166363599839,2.465e-20
855.326680474086,2.761e-20
855.336724588188,3.185e-20
855.3467687022901,3.162e-20
855.3568128163921,2.78e-20
855.3668569304941,2.488e-20
855.3769010445963,2.584e-20
855.3869451586983,2.982e-20
855.3969892728003,3.195e-20
855.4070333869023,2.865e-20
855.4170775010044,2.442e-20
855.4271216151064,2.642e-20
855.4371657292085,3.177e-20
855.4472098433106,3.142e-20
855.4572539574126,2.625e-20
855.4672980715146,2.492e-20
855.4773421856166,2.803e-20
855.4873862997188,2.949e-20
855.4974304138208,2.954e-20
855.5074745279228,3.089e-20
855.5175186420249,2.997e-20
855.5275627561269,2.554e-20
855.537606870229,2.445e-20
855.5476509843311,2.847e-20
855.5576950984331,3.026e-20
855.5677392125351,2.789e-20
855.5777833266371,2.669e-20
855.5878274407393,2.745e-20
855.5978715548413,2.796e-20
855.6079156689433,2.966e-20
855.6179597830454,3.151e-20
855.6280038971474,2.922e-20
855.6380480112495,2.558e-20
855.6480921253515,2.679e-20
855.6581362394536,3.04e-20
855.6681803535556,3.082e-20
855.6782244676576,2.922e-20
855.6882685817598,2.833e-20
855.6983126958618,2.866e-20
855.7083568099638,3.172e-20
855.7184009240659,3.556e-20
855.7284450381679,3.335e-20
855.73848915227,2.591e-20
855.748533266372,2.297e-20
855.7585773804741,2.679e-20
855.7686214945761,3.012e-20
855.7786656086781,2.984e-20
855.7887097227803,2.807e-20
855.7987538368823,2.564e-20
855.8087979509843,2.468e-20
855.8188420650863,2.782e-20
855.8288861791884,3.094e-20
855.8389302932904,2.851e-20
855.8489744073925,2.42e-20
855.8590185214946,2.52e-20
855.8690626355966,3.041e-20
855.8791067496986,3.3e-20
855.8891508638008,3.034e-20
855.8991949779028,2.661e-20
855.9092390920048,2.689e-20
855.9192832061068,3.029e-20
855.9293273202089,3.197e-20
855.9393714343109,3.118e-20
855.949415548413,3.035e-20
855.9594596625151,2.889e-20
855.9695037766171,2.705e-20
855.9795478907191,2.879e-20
855.9895920048211,3.272e-20
855.9996361189233,3.185e-20
856.0096802330253,2.746e-20
856.0197243471273,2.782e-20
856.0297684612294,3.258e-20
856.0398125753314,3.417e-20
856.0498566894335,3.133e-20
856.0599008035356,2.893e-20
856.0699449176376,2.97e-20
856.0799890317396,3.264e-20
856.0900331458416,3.426e-20
856.1000772599438,3.184e-20
856.1101213740458,2.844e-20
856.1201654881478,2.909e-20
856.1302096022499,3.253e-20
856.1402537163519,3.425e-20
856.150297830454,3.352e-20
856.160341944556,3.13e-20
856.1703860586581,2.841e-20
856.1804301727601,2.777e-20
856.1904742868621,3.046e-20
856.2005184009643,3.242e-20
856.2105625150663,3.135e-20
856.2206066291683,3.01e-20
856.2306507432704,3.054e-20
856.2406948573724,3.197e-20
856.2507389714744,3.414e-20
856.2607830855765,3.512e-20
856.2708271996786,3.23e-20
856.2808713137806,2.85e-20
856.2909154278826,2.89e-20
856.3009595419848,3.233e-20
